negocio_id,porc_crecimiento_anual,calificacion_desempeno,anaquel_competencia,anaquel_negocio,respeto,poblacion_zona_negocio,clase_negocio,ingreso_promedio_m,enfriador
45,1.140421685,0.8250000000000001,1,2,1.0,3591.0,B,26466,1.0
46,0.6960138659999999,0.7050000000000001,0,4,1.0,4430.0,B,17894,2.0
47,0.488924181,0.8400000000000001,0,1,1.0,5249.0,B,8813,1.0
48,-0.08959532800000002,0.7350000000000001,0,3,1.0,4168.0,A,24092,2.0
49,0.114543114,0.89,1,4,1.0,4430.0,A,22187,1.0
50,0.14967339000000002,1.0150000000000001,1,4,1.0,3591.0,A,16735,2.0
51,0.7880929379999999,0.795,0,1,1.0,3636.0,B,6399,1.0
52,0.198720884,0.795,1,4,1.0,4430.0,A,25831,2.0
53,0.594911538,0.925,1,3,1.0,4156.0,A,24063,1.0
54,0.320081198,0.615,0,2,1.0,2256.0,B,7168,1.0
55,0.010307441,0.7200000000000001,0,2,0.5,4156.0,B,8960,1.0
56,0.34211582900000004,0.9450000000000001,0,3,1.0,3636.0,B,9884,2.0
57,0.295101701,0.805,1,4,0.0,,A,28731,2.0
58,0.486300656,0.675,0,3,1.0,3497.0,B,37858,1.0
59,0.126427462,0.8600000000000001,0,2,1.0,2808.0,B,10586,1.0
60,0.19821609499999998,0.74,0,1,1.0,,B,5769,1.0
61,0.5856686609999999,0.6925,0,2,1.0,2918.0,B,27741,1.0
62,-0.012944021,0.9750000000000001,0,3,1.0,2797.0,B,14770,1.0
63,0.476286047,0.755,1,3,1.0,3184.0,A,36680,1.0
64,0.077739877,0.925,0,4,1.0,3035.0,A,37141,2.0
65,1.336075958,0.9,0,2,1.0,4876.0,B,8924,1.0
66,0.204866163,0.75,0,2,1.0,4014.0,B,8021,1.0
67,0.35028111500000003,0.8450000000000001,0,4,0.5,3890.0,A,41523,2.0
68,0.10286066699999999,0.7150000000000001,0,4,0.0,3317.0,A,32279,2.0
69,2.264248964,0.5750000000000001,0,2,0.0,3211.0,B,20769,1.0
70,0.333094918,0.8450000000000001,0,4,0.0,,A,34610,2.0
71,-0.013453067999999999,0.795,0,4,1.0,4430.0,A,23230,2.0
72,0.6567561879999999,0.625,0,3,1.0,3170.0,B,37215,1.0
73,-0.013624779000000004,0.9550000000000001,0,3,1.0,4876.0,B,3974,1.0
74,0.050495767,0.77,1,4,1.0,2545.0,A,35780,2.0
75,0.351194597,0.935,0,3,1.0,2918.0,A,8684,1.0
76,0.113002292,0.9850000000000001,0,3,1.0,4156.0,B,11858,1.0
77,0.464227716,0.775,1,1,0.0,2541.0,B,4393,1.0
78,0.647118358,0.785,1,2,1.0,,B,11960,1.0
79,1.578120401,0.8250000000000001,0,3,1.0,5249.0,A,26543,1.0
80,-0.263028965,0.801666667,0,3,0.666666667,2808.0,A,24362,1.0
81,-0.273271328,0.775,0,2,1.0,3170.0,B,9087,1.0
82,0.322430394,0.561666667,0,1,0.666666667,2674.0,B,5872,1.0
83,-0.16803202700000003,0.8916666670000001,0,3,1.0,2726.0,A,20204,1.0
84,1.295679505,0.915,0,3,1.0,3497.0,B,8287,1.0
85,0.757501785,0.9,0,2,1.0,4156.0,B,14497,1.0
86,0.095214801,0.9850000000000001,1,3,1.0,2971.0,A,8865,1.0
87,0.13109923099999998,0.758333333,1,3,1.0,3582.0,A,10648,1.0
88,-0.010466254000000008,0.7350000000000001,0,2,0.0,4548.0,B,5989,1.0
89,0.9557754559999999,0.9683333330000001,3,4,1.0,3112.0,A,22946,2.0
90,0.036834307,0.905,0,4,1.0,4183.0,A,16842,2.0
91,1.038527624,0.8300000000000001,0,2,1.0,4790.0,A,18020,1.0
92,1.010041607,0.895,1,3,1.0,4884.0,A,6422,1.0
93,0.37818882200000004,0.925,0,5,1.0,4626.0,A,32671,2.0
94,0.925620832,0.8150000000000001,0,4,1.0,6740.0,A,332527,5.0
95,0.390122492,0.865,2,3,1.0,3587.0,B,14130,1.0
96,0.477561654,0.645,2,4,1.0,1774.0,B,71051,2.0
97,0.35218250900000003,0.785,0,4,1.0,4651.0,A,24570,2.0
98,0.165153341,0.8550000000000001,0,6,1.0,4183.0,A,32223,3.0
99,0.053890095,0.555,0,2,1.0,3582.0,B,5885,1.0
100,0.400943043,0.5950000000000001,2,2,1.0,2298.0,B,6299,1.0
101,0.286877529,0.655,0,2,1.0,6289.0,B,10226,1.0
102,0.260823758,0.875,0,2,1.0,5657.0,A,10586,1.0
103,0.9788939849999999,0.8300000000000001,2,4,1.0,4215.0,A,22123,2.0
104,-0.14550984500000003,0.9183333330000001,2,3,1.0,3112.0,A,18234,1.0
105,-0.15236735699999998,0.525,0,2,0.0,3296.0,B,7358,1.0
106,0.265245725,0.905,2,3,1.0,8725.0,A,10418,1.0
107,-0.860757097,0.645,0,2,1.0,3338.0,B,15853,1.0
108,0.356129118,0.8350000000000001,0,4,1.0,5363.0,A,21572,2.0
109,0.671571566,0.91,3,3,1.0,5363.0,A,16399,1.0
110,0.281592507,0.8550000000000001,0,2,1.0,2395.0,B,8373,1.0
111,0.36351157900000003,0.5750000000000001,2,4,1.0,3235.0,A,29824,
112,0.262976963,0.635,1,2,1.0,3582.0,B,8870,1.0
113,0.08967059799999999,0.685,0,2,1.0,5181.0,B,6165,1.0
114,0.31858423,0.905,1,5,0.666666667,8725.0,A,25754,3.0
115,0.561225486,0.7050000000000001,0,2,1.0,6289.0,B,5996,1.0
116,0.24759481099999997,0.5650000000000001,0,2,0.0,8725.0,B,12184,1.0
117,0.6613069619999999,1.021666667,0,3,1.0,8725.0,A,12531,1.0
118,1.552127909,0.745,0,3,1.0,2555.0,B,43793,1.0
119,0.699655603,0.895,2,3,1.0,4494.0,B,14256,1.0
120,1.505045628,0.905,1,4,1.0,4913.0,A,21433,2.0
121,-0.20575578499999997,0.9083333330000001,2,4,1.0,9722.0,A,14245,2.0
122,0.122997492,0.7616666670000001,3,2,1.0,4451.0,B,8160,1.0
123,0.09058285099999999,0.927,2,3,1.0,8725.0,B,9426,1.0
124,-0.016137702000000004,0.91,2,3,0.5,4274.0,A,19443,1.0
125,0.558419491,0.8550000000000001,1,2,1.0,8844.0,B,4964,1.0
126,-0.356267022,0.8250000000000001,0,2,1.0,8725.0,B,4819,1.0
127,0.944832422,0.885,1,6,1.0,5281.0,A,24795,4.0
128,0.2520153,0.685,0,2,1.0,2759.0,B,6308,1.0
129,0.19639221299999998,0.935,1,3,1.0,3990.0,A,9091,1.0
130,0.010115552,0.7716666670000001,1,2,0.666666667,8725.0,B,14645,1.0
131,3.3541729150000004,0.635,2,3,0.0,3338.0,B,17873,1.0
132,0.727464067,0.78,1,3,0.5,8725.0,B,11668,1.0
133,1.180786868,0.795,2,5,0.5,4494.0,A,36384,3.0
134,-0.20046057499999997,0.805,0,3,1.0,3273.0,B,5631,
135,1.011363545,0.685,0,2,1.0,4335.0,B,6122,1.0
136,0.26989628,0.8350000000000001,3,4,1.0,4335.0,A,26465,2.0
137,1.412437783,0.8150000000000001,0,4,1.0,4275.0,A,54425,2.0
138,1.8400246839999999,0.895,1,4,1.0,3605.0,A,22926,2.0
139,0.12249523,0.765,2,2,1.0,4033.0,B,10860,1.0
140,0.309979337,0.9850000000000001,0,2,1.0,4335.0,B,7170,1.0
141,0.6497308129999999,0.8500000000000001,4,3,1.0,3273.0,B,16705,1.0
142,0.323774764,0.865,0,1,1.0,7042.0,B,7137,1.0
143,0.619636278,0.951666667,0,3,1.0,3674.0,B,10483,1.0
144,0.23180412899999997,0.9750000000000001,0,2,1.0,3231.0,B,13160,1.0
145,0.236983675,0.775,0,2,1.0,2851.0,B,32848,1.0
146,0.06481664599999999,0.738333333,2,2,1.0,3605.0,B,9200,1.0
147,2.217568285,0.9450000000000001,0,3,1.0,2664.0,B,15392,1.0
148,-0.104966449,0.6050000000000001,0,1,1.0,2851.0,B,4234,1.0
149,0.355210051,0.91,0,2,1.0,4033.0,B,8686,1.0
150,0.385893321,0.935,0,2,1.0,4887.0,B,12022,1.0
151,0.376515845,0.745,0,2,1.0,3273.0,B,9258,1.0
152,1.1928131309999999,0.915,1,1,1.0,4275.0,B,5884,1.0
153,0.135243492,0.6050000000000001,3,3,1.0,2158.0,B,7421,1.0
154,0.490667636,0.8983333330000001,0,2,1.0,3877.0,B,15338,2.0
155,0.199762201,0.6950000000000001,0,2,1.0,4335.0,B,19296,1.0
156,-0.13091961200000002,0.8250000000000001,3,2,1.0,6178.0,B,11271,1.0
157,0.323366873,0.915,0,4,1.0,1913.0,A,27027,2.0
158,0.048576364,0.7150000000000001,0,2,1.0,2720.0,B,12338,2.0
159,0.20593536299999998,0.915,0,2,0.0,2851.0,B,13357,1.0
160,0.019011940999999997,0.87,0,3,1.0,3605.0,B,19702,1.0
161,-0.0028384080000000006,0.875,1,2,1.0,3857.0,B,13560,1.0
162,1.178935665,0.775,1,2,1.0,5717.0,B,12052,1.0
163,-0.14330579999999998,0.49499999999999994,0,2,1.0,4033.0,B,4202,1.0
164,0.304790697,0.785,2,4,1.0,5717.0,B,14168,2.0
165,0.522935409,0.765,7,5,1.0,1858.0,A,32868,2.0
166,0.401549892,0.925,0,4,1.0,4033.0,A,24991,2.0
167,0.023605540999999994,0.8450000000000001,0,4,1.0,3674.0,A,28534,2.0
168,0.279459981,0.8450000000000001,0,3,1.0,3674.0,B,10838,2.0
169,0.756561429,0.8350000000000001,0,2,1.0,4033.0,B,5355,1.0
170,-0.24210201399999998,0.655,0,3,1.0,3076.0,A,10000,1.0
171,0.29398953099999997,1.0250000000000001,0,4,1.0,2340.0,A,21617,2.0
172,0.22507540199999998,0.615,0,4,0.0,2197.0,B,27976,2.0
173,-0.030480921000000008,0.9550000000000001,1,3,1.0,4540.0,A,15419,1.0
174,0.36129531800000003,0.7150000000000001,0,3,1.0,3222.0,A,19815,1.0
175,0.004016048999999994,0.805,1,3,1.0,5682.0,B,98858,1.0
176,0.10758606700000001,0.578333333,0,2,0.666666667,5741.0,A,5672,2.0
177,0.081960671,0.685,0,2,0.0,5365.0,B,11373,1.0
178,1.578537364,0.9850000000000001,0,3,1.0,6141.0,A,20383,1.0
179,0.190139848,0.885,0,4,1.0,3115.0,A,13742,2.0
180,-0.15371242400000001,0.895,0,3,1.0,3722.0,A,14498,1.0
181,1.534230005,0.8350000000000001,0,3,1.0,4027.0,B,12680,1.0
182,-0.500684232,0.7100000000000001,0,2,1.0,4170.0,B,10101,1.0
183,1.695126784,0.88,0,2,1.0,3999.0,B,9865,2.0
184,0.973859421,0.7200000000000001,0,2,1.0,4089.0,B,6454,2.0
185,0.901784728,0.16499999999999998,0,2,0.0,6892.0,B,9184,1.0
186,0.522209205,0.8350000000000001,0,3,1.0,2248.0,A,20718,1.0
187,2.064151212,0.745,0,5,1.0,3584.0,A,22800,2.0
188,0.425244101,0.925,0,3,1.0,2754.0,A,16585,1.0
189,0.031719027,0.675,1,2,1.0,2811.0,B,19296,1.0
190,0.534632085,0.87,0,3,1.0,4755.0,B,9468,1.0
191,0.6034329679999999,0.8075,1,2,1.0,4713.0,B,15367,1.0
192,-0.039138117,0.9750000000000001,2,3,1.0,3757.0,A,18203,1.0
193,-0.114626661,0.375,0,3,0.0,3282.0,B,22442,1.0
194,0.7583111339999999,0.9650000000000001,0,5,1.0,4540.0,A,23284,2.0
195,5.259772055,0.68,1,1,1.0,3584.0,B,9239,1.0
196,0.680635757,0.8150000000000001,0,2,0.0,4089.0,B,13097,1.0
197,-0.13390100300000002,0.545,0,2,0.0,7974.0,A,30630,1.0
198,0.5170808809999999,0.7050000000000001,0,3,1.0,2743.0,B,17998,1.0
199,0.264078152,0.89,0,2,1.0,6141.0,B,9322,1.0
200,0.154912911,0.54,0,1,0.0,6141.0,B,8096,1.0
201,4.8025418,0.8200000000000001,0,2,1.0,3999.0,B,4600,1.0
202,3.0813147570000003,0.905,0,2,1.0,2967.0,B,5477,1.0
203,0.20092260299999998,0.635,0,1,0.0,2528.0,B,7289,1.0
204,1.025026972,0.7675000000000001,0,2,1.0,3999.0,B,12815,1.0
205,0.233995597,0.7050000000000001,1,1,1.0,4755.0,B,11469,1.0
206,-0.10821143600000001,0.8350000000000001,0,3,1.0,4768.0,A,50811,2.0
207,-0.259241449,0.49499999999999994,0,3,0.0,2211.0,B,40615,1.0
208,0.444602775,0.8350000000000001,0,3,0.0,2882.0,A,20369,3.0
209,0.464171813,0.8150000000000001,0,2,1.0,6915.0,B,23066,1.0
210,0.009292756,0.9016666670000001,0,5,1.0,6415.0,A,27543,3.0
211,-0.20960370699999997,0.8550000000000001,0,4,0.0,4755.0,A,26472,1.0
212,1.50663054,0.7050000000000001,0,1,0.0,4251.0,A,9077,1.0
213,0.047218313,0.64,0,1,1.0,3773.0,B,6925,1.0
214,-0.027812364000000006,0.685,0,2,1.0,12131.0,B,8493,1.0
215,0.5879337309999999,0.525,0,1,0.0,1722.0,B,4908,1.0
216,0.732060929,0.8450000000000001,2,3,1.0,4339.0,A,35983,1.0
217,1.048565648,0.8150000000000001,0,2,1.0,4540.0,B,13980,1.0
218,-0.05496342,0.7150000000000001,0,2,1.0,2811.0,B,20145,1.0
219,0.11916390199999999,0.765,0,4,0.0,2475.0,A,71639,3.0
220,0.011170486999999993,0.9450000000000001,0,5,1.0,6415.0,A,33389,3.0
221,1.1980308819999999,0.675,0,3,1.0,4713.0,B,45512,1.0
222,0.173403547,0.925,0,3,1.0,3003.0,A,22128,1.0
223,0.137303621,0.9750000000000001,0,3,1.0,3101.0,A,27176,1.0
224,0.427287162,0.925,0,3,1.0,3408.0,B,24143,1.0
225,0.653431007,0.79,1,2,1.0,4713.0,B,12901,1.0
226,0.112537839,0.905,1,3,1.0,12131.0,A,21629,1.0
227,0.07190366,0.9850000000000001,0,4,1.0,4755.0,A,27274,2.0
228,1.31096531,0.865,0,3,1.0,3722.0,A,21943,1.0
229,1.6117271229999999,0.8250000000000001,0,5,1.0,5377.0,A,61052,3.0
230,-0.051236514999999996,0.7150000000000001,0,2,1.0,4377.0,B,10682,1.0
231,0.333285486,0.8925000000000001,1,4,1.0,6415.0,A,35357,3.0
232,0.52697404,0.755,0,4,1.0,5146.0,B,9710,2.0
233,0.290532927,0.635,0,2,1.0,4755.0,B,6747,1.0
234,-0.211785147,0.365,1,2,0.0,3757.0,B,5337,1.0
235,0.535655076,0.505,0,3,0.0,5377.0,B,9260,2.0
236,2.976968109,0.40499999999999997,0,3,1.0,12131.0,B,17546,1.0
237,-0.109599132,0.8500000000000001,1,2,1.0,6415.0,B,7895,1.0
238,-0.028624728000000002,0.8550000000000001,0,4,0.0,2718.0,A,15938,2.0
239,0.932099067,0.775,0,2,1.0,4755.0,B,7802,1.0
240,0.016027673,0.8200000000000001,1,3,1.0,3221.0,B,15941,1.0
241,0.089008932,0.8600000000000001,2,5,1.0,12131.0,A,41963,3.0
242,0.6451887209999999,0.6050000000000001,0,2,1.0,5146.0,B,15722,1.0
243,0.0031984899999999983,0.7050000000000001,0,3,1.0,4540.0,A,46343,1.0
244,0.22709123799999997,0.7250000000000001,0,2,1.0,2197.0,B,54500,2.0
245,0.348741218,0.87,2,3,1.0,6141.0,B,4981,1.0
246,1.3136136649999999,0.905,0,2,1.0,6915.0,B,12509,1.0
247,0.015612442999999997,0.8150000000000001,0,4,1.0,3254.0,A,28531,2.0
248,0.40488845900000003,0.9650000000000001,1,3,1.0,2216.0,A,25577,1.0
249,0.101095663,0.8400000000000001,2,5,1.0,19868.0,A,26910,3.0
250,0.392164862,0.675,2,2,1.0,2658.0,B,12003,1.0
251,0.26930964,0.625,1,2,1.0,46096.0,B,12426,2.0
252,-0.00918650900000001,0.8400000000000001,2,5,1.0,1848.0,A,21710,3.0
253,0.261601905,0.7350000000000001,2,3,1.0,1946.0,B,16854,1.0
254,0.073766007,0.785,1,1,1.0,3604.0,B,10486,1.0
255,0.94156962,0.5283333330000001,2,2,0.666666667,2663.0,B,11669,1.0
256,0.223737972,0.8883333330000001,3,5,1.0,2395.0,A,17902,2.0
257,0.5290463129999999,0.785,2,3,1.0,4083.0,B,8671,1.0
258,0.304459097,0.49999999999999994,5,4,0.5,5350.0,B,91899,1.0
259,0.75172049,0.805,3,4,1.0,19868.0,A,26261,2.0
260,0.534773946,0.765,0,2,1.0,6384.0,A,17300,2.0
261,4.299531340000001,0.6100000000000001,2,2,1.0,46096.0,B,35336,1.0
262,0.9150803559999999,0.765,0,2,1.0,2300.0,B,11224,1.0
263,0.9127348959999999,0.8150000000000001,0,3,0.0,4942.0,B,33188,1.0
264,0.167881561,0.795,2,4,1.0,1702.0,A,42110,2.0
265,0.5866516089999999,0.8550000000000001,1,2,1.0,19868.0,B,11204,1.0
266,-0.09971895400000001,0.415,0,2,0.0,5777.0,B,67421,1.0
267,0.538570982,0.9450000000000001,0,4,1.0,4414.0,A,11824,2.0
268,-0.255503831,0.895,0,2,1.0,2225.0,B,5257,1.0
269,0.069211318,0.8550000000000001,0,2,1.0,3539.0,B,7653,1.0
270,1.457653141,0.7000000000000001,5,6,1.0,23565.0,B,61396,3.0
271,0.08625236,0.755,1,3,1.0,3097.0,B,8098,1.0
272,0.349166197,0.645,3,2,1.0,1751.0,B,95714,1.0
273,1.128881329,0.8200000000000001,0,2,1.0,2208.0,B,5897,1.0
274,0.775921153,0.8350000000000001,0,2,1.0,3539.0,B,12276,1.0
275,0.34647058000000003,0.8450000000000001,3,2,1.0,6410.0,B,13279,1.0
276,-0.06655390800000001,0.525,0,2,0.0,12727.0,B,7047,1.0
277,0.167676884,0.8350000000000001,1,2,1.0,3470.0,A,18650,1.0
278,0.173241909,0.435,1,1,0.0,2110.0,B,5874,1.0
279,0.007189040999999993,0.64,0,3,0.0,14075.0,B,16697,1.0
280,0.358121732,0.775,2,2,1.0,2945.0,B,56499,1.0
281,0.09726810699999999,0.775,0,5,0.0,1657.0,A,18267,3.0
282,0.431069069,0.875,0,2,1.0,2109.0,B,12078,1.0
283,-0.010710576999999999,0.885,0,3,1.0,2070.0,B,11527,1.0
284,0.172128262,0.8625,2,2,1.0,23565.0,B,13967,1.0
285,0.20044888700000002,0.75,0,4,1.0,2082.0,A,34468,2.0
286,-0.052341119000000005,0.765,0,1,0.0,5777.0,B,8912,1.0
287,1.052135413,0.8550000000000001,0,3,1.0,2419.0,A,16970,1.0
288,0.027076785,0.385,0,2,0.0,2751.0,B,4784,1.0
289,0.257204833,0.895,0,3,1.0,2732.0,A,16387,1.0
290,0.370437766,0.8250000000000001,0,5,0.0,2804.0,A,10600,2.0
291,0.316634921,0.8250000000000001,0,2,1.0,2620.0,B,7987,1.0
292,0.077494418,0.9299999999999999,2,4,1.0,2694.0,A,13186,2.0
293,0.134642805,0.795,1,2,1.0,7624.0,B,3980,1.0
294,0.863981192,0.868333333,2,3,1.0,19868.0,B,12307,1.0
295,0.25926581,0.75,2,2,1.0,1995.0,B,10404,1.0
296,0.14447479800000002,0.645,2,2,0.666666667,2245.0,B,7305,2.0
297,0.563550264,0.5850000000000001,1,4,1.0,1946.0,A,28210,2.0
298,-0.151444543,0.745,0,2,1.0,3481.0,B,6707,1.0
299,0.266233802,0.8250000000000001,1,3,1.0,19868.0,B,24011,1.0
300,0.177640552,0.9950000000000001,2,3,1.0,1697.0,A,17467,1.0
301,-0.021633102,0.5850000000000001,1,3,0.0,2438.0,B,5038,
302,-0.09100997200000001,0.785,1,1,1.0,2953.0,B,7760,1.0
303,-0.11407833499999999,0.765,0,3,0.0,2255.0,B,8905,2.0
304,0.039726858999999996,0.818333333,2,3,1.0,2678.0,B,10634,1.0
305,-0.337345353,0.79,0,2,1.0,2402.0,B,6567,1.0
306,0.43283091500000004,0.755,2,3,1.0,2437.0,B,19587,1.0
307,-0.014316216000000007,0.895,3,4,1.0,3244.0,A,23218,2.0
308,1.417837714,0.8450000000000001,1,4,1.0,2207.0,A,31457,3.0
309,-0.0027696410000000032,0.8150000000000001,0,4,1.0,7648.0,A,10356,2.0
310,0.17070158800000002,0.665,0,2,1.0,2500.0,B,4380,1.0
311,0.283522721,0.6000000000000001,4,3,0.5,19760.0,A,26306,1.0
312,0.721904009,0.67,0,2,0.5,20334.0,B,8203,1.0
313,-0.014035434,0.5750000000000001,0,2,1.0,2678.0,B,5914,1.0
314,0.739574258,0.765,0,4,0.0,20334.0,B,10878,2.0
315,0.03850048,0.89,0,2,1.0,1878.0,B,13334,1.0
316,-0.344326084,0.615,0,2,0.0,3073.0,B,3599,1.0
317,0.8466640559999999,0.535,2,2,1.0,2863.0,B,6043,1.0
318,0.179574499,0.77,0,2,0.5,20334.0,B,11472,1.0
319,0.23874050000000002,0.655,0,2,1.0,1950.0,B,11463,1.0
320,0.17663317,0.588333333,1,2,0.666666667,1848.0,B,12354,1.0
321,1.150972522,0.721666667,2,3,0.666666667,20334.0,B,14621,1.0
322,0.558838473,0.698333333,0,2,1.0,6175.0,B,8704,1.0
323,0.054141498999999996,0.551666667,2,2,1.0,23565.0,B,8467,1.0
324,-0.008904335,0.6416666670000001,2,3,1.0,1702.0,B,16329,1.0
325,1.1379949839999999,0.265,0,2,0.0,2534.0,B,4078,1.0
326,-0.339888383,0.525,0,2,1.0,,B,12598,1.0
327,0.15047814799999998,0.265,0,2,0.0,2065.0,B,4472,1.0
328,-0.112312167,0.525,2,2,1.0,3604.0,B,10706,1.0
329,0.190370812,0.355,2,2,1.0,3609.0,B,21552,1.0
330,0.187724603,0.7150000000000001,6,2,1.0,3084.0,B,13263,1.0
331,0.8762298159999999,0.925,0,2,1.0,2402.0,B,6663,1.0
332,0.072556263,0.745,1,4,1.0,2646.0,A,25223,2.0
333,0.07517752,0.7050000000000001,0,4,1.0,3410.0,B,32682,2.0
334,0.043921645999999995,0.355,1,2,0.0,3073.0,B,5407,
335,0.161193135,0.8550000000000001,2,5,1.0,6384.0,A,29142,3.0
336,0.521476079,0.68,2,5,1.0,14075.0,A,18024,3.0
337,0.50156239,0.8150000000000001,0,4,1.0,2395.0,A,36119,2.0
338,-0.18283913000000002,0.685,1,2,1.0,3073.0,B,13485,1.0
339,0.291566082,0.7200000000000001,4,3,1.0,1995.0,B,12779,2.0
340,0.059092575999999994,0.765,4,6,1.0,1765.0,A,66113,3.0
341,0.262489831,0.915,3,4,1.0,6384.0,A,28229,2.0
342,2.6550760720000004,0.7350000000000001,0,4,1.0,1954.0,A,26857,2.0
343,0.04718056799999999,0.9983333329999999,1,4,1.0,2555.0,A,13222,3.0
344,0.08078927899999999,0.62,2,2,1.0,3260.0,B,7477,1.0
345,0.090039799,0.675,2,3,0.0,2383.0,B,16529,1.0
346,0.44021018100000003,0.9850000000000001,0,5,1.0,8167.0,A,19820,4.0
347,-0.22689767699999996,0.555,1,5,1.0,2207.0,A,16363,3.0
348,0.140415273,0.655,0,2,1.0,3129.0,B,6754,1.0
349,0.505607017,0.635,0,4,0.0,2186.0,A,21879,2.0
350,0.6621021429999999,0.8150000000000001,0,3,1.0,2447.0,A,21536,1.0
351,0.070964794,0.8150000000000001,0,2,1.0,10031.0,B,12140,1.0
352,0.280476937,0.615,3,3,0.0,1962.0,B,13592,1.0
353,0.20653035800000002,0.7150000000000001,0,2,1.0,6349.0,B,5259,1.0
354,0.237403085,0.905,0,4,1.0,3399.0,A,13071,2.0
355,0.36597544600000004,0.885,2,3,1.0,3110.0,A,24156,2.0
356,-0.18289280199999997,0.795,0,3,1.0,2447.0,A,69843,2.0
357,1.031464161,0.915,0,2,1.0,3399.0,A,24229,1.0
358,0.037060156999999996,0.765,2,3,1.0,4811.0,A,16937,1.0
359,-0.159753335,0.8150000000000001,0,2,1.0,8479.0,B,18584,2.0
360,0.266794001,0.755,0,3,1.0,4811.0,A,23347,1.0
361,0.200790574,0.9950000000000001,1,2,1.0,3851.0,A,8102,2.0
362,0.137063992,0.555,4,3,1.0,3923.0,A,35501,1.0
363,0.106060648,0.7150000000000001,0,2,1.0,3841.0,B,6228,1.0
364,-0.0019017689999999976,0.895,0,4,1.0,3890.0,A,13807,2.0
365,0.138720522,0.625,2,1,1.0,3895.0,B,5345,1.0
366,0.036041072,0.675,0,4,0.0,3895.0,A,30373,2.0
367,0.058211014,0.465,0,2,1.0,3841.0,B,5306,1.0
368,0.267330414,0.8150000000000001,2,4,1.0,3895.0,A,111614,2.0
